farm_id,insured,claim_usd
Farm_00001,False,6287.09
Farm_00002,False,7877.95
Farm_00003,False,9706.93
Farm_00004,False,14365.97
Farm_00005,True,2859.14
Farm_00006,True,11245.11
Farm_00007,True,2998.77
Farm_00008,True,12519.73
Farm_00009,True,8229.9
Farm_00010,True,7977.37
Farm_00011,True,10390.97
Farm_00012,False,13273.99
Farm_00013,False,11336.65
Farm_00014,False,9325.55
Farm_00015,False,8188.59
Farm_00016,False,6687.37
Farm_00017,True,9863.16
Farm_00018,False,12537.32
Farm_00019,True,7185.15
Farm_00020,True,14043.82
Farm_00021,False,4529.27
Farm_00022,True,12520.14
Farm_00023,False,4466.58
Farm_00024,True,13308.77
Farm_00025,False,2.68
Farm_00026,True,1491.67
Farm_00027,False,13877.41
Farm_00028,True,14231.42
Farm_00029,False,2538.91
Farm_00030,False,609.74
Farm_00031,False,13703.16
Farm_00032,True,3973.37
Farm_00033,True,2299.83
Farm_00034,True,6736.71
Farm_00035,False,9960.4
Farm_00036,False,6913.59
Farm_00037,True,9604.87
Farm_00038,False,4623.17
Farm_00039,False,11664.54
Farm_00040,False,7533.27
Farm_00041,False,11068.85
Farm_00042,True,7325.92
Farm_00043,True,841.96
Farm_00044,True,7628.64
Farm_00045,False,4434.25
Farm_00046,True,8555.11
Farm_00047,True,13195.72
Farm_00048,False,12770.66
Farm_00049,False,14358.1
Farm_00050,True,14158.8
Farm_00051,False,2413.87
Farm_00052,True,3858.2
Farm_00053,True,3750.91
Farm_00054,True,9588.92
Farm_00055,True,14913.45
Farm_00056,False,10182.28
Farm_00057,False,3750.4
Farm_00058,True,7098.63
Farm_00059,True,7659.38
Farm_00060,True,9818.39
Farm_00061,True,3187.52
Farm_00062,False,6697.08
Farm_00063,True,13842.05
Farm_00064,False,10153.19
Farm_00065,False,5810.35
Farm_00066,False,9103.47
Farm_00067,False,11694.58
Farm_00068,True,3809.93
Farm_00069,False,14486.53
Farm_00070,False,1862.15
Farm_00071,False,2141.52
Farm_00072,False,14865.31
Farm_00073,True,10674.27
Farm_00074,True,2790.78
Farm_00075,True,14511.39
Farm_00076,True,6084.76
Farm_00077,True,4873.2
Farm_00078,False,1825.49
Farm_00079,False,9149.29
Farm_00080,False,853.61
Farm_00081,False,11774.13
Farm_00082,False,5710.11
Farm_00083,False,5842.76
Farm_00084,False,7688.9
Farm_00085,False,5963.49
Farm_00086,False,2158.91
Farm_00087,False,6275.65
Farm_00088,False,12387.38
Farm_00089,True,4458.8
Farm_00090,True,4815.56
Farm_00091,True,9885.95
Farm_00092,False,14035.12
Farm_00093,False,7629.87
Farm_00094,False,10055.02
Farm_00095,True,13437.18
Farm_00096,False,13793.35
Farm_00097,True,865.83
Farm_00098,True,7719.33
Farm_00099,False,8475.35
Farm_00100,True,3318.89
Farm_00101,True,6899.81
Farm_00102,False,12061.65
Farm_00103,True,2253.67
Farm_00104,True,4668.85
Farm_00105,True,14882.74
Farm_00106,False,13413.0
Farm_00107,False,10818.07
Farm_00108,True,75.75
Farm_00109,False,840.26
Farm_00110,False,8389.5
Farm_00111,True,5262.42
